dog_breed,description,image
affenpinscher,"Chó Affenpinscher, còn được gọi là chó khỉ (Monkey Terrier) là một giống chó cảnh có nguồn gốc từ Đức.
Đặc điểm
Nặng: 3–6 kg (7–13 lb)
Cao: 23–30 cm (9–12 in)
Bộ lông: 	dài,xù
Màu: -Đen, Trắng, Nâu, Xám
Tuổi thọ: 11-14 năm",https://upload.wikimedia.org/wikipedia/commons/b/b2/Borismindre.jpg
khỉ,"Chó Affenpinscher, còn được gọi là chó khỉ (Monkey Terrier) là một giống chó cảnh có nguồn gốc từ Đức.
Đặc điểm
Nặng: 3–6 kg (7–13 lb)
Cao: 23–30 cm (9–12 in)
Bộ lông: 	dài,xù
Màu: -Đen, Trắng, Nâu, Xám
Tuổi thọ: 11-14 năm",https://upload.wikimedia.org/wikipedia/commons/b/b2/Borismindre.jpg
phốc khỉ,"Chó Affenpinscher, còn được gọi là chó khỉ (Monkey Terrier) là một giống chó cảnh có nguồn gốc từ Đức.
Đặc điểm
Nặng: 3–6 kg (7–13 lb)
Cao: 23–30 cm (9–12 in)
Bộ lông: 	dài,xù
Màu: -Đen, Trắng, Nâu, Xám
Tuổi thọ: 11-14 năm",https://upload.wikimedia.org/wikipedia/commons/b/b2/Borismindre.jpg
afghan hound,"Chó săn Afghan (Afghan Hound) là một giống chó săn có nguồn gốc từ vùng Trung Á. Đây là giống chó săn được xếp vào nhóm chó săn đuổi hay chó săn rượt, là những con chó săn dựa vào tốc độ để truy đuổi con mồi. Chó săn Afghan có ngoại hình tạo một ấn tượng mạnh về sức mạnh, sự dẻo dai và vẻ cao lớn, kết hợp với tốc độ và sức mạnh.
Tên khác: Tazi, Tazhi Spay, Da Kochyano Spay, Sage Balochi, Ogar Afgan, Chó săn xám phương Đông/Chó săn xám Ba Tư
Nguồn gốc: Afghanistan
Đặc điểm
Nặng: - Đực: 20–27 kg (45–60 lb)
Cao: - Đực: 61–73 cm (24–29 in)
Bộ lông: Long and fine
Màu: Fawn, Gold, Brindle, White, Red, Cream, Blue, Gray and Tricolor
Lứa đẻ: 6–8 puppies
Tuổi thọ: 11–13 years",https://upload.wikimedia.org/wikipedia/commons/f/fe/Afghan_Hound.jpg
săn afghan,"Chó săn Afghan (Afghan Hound) là một giống chó săn có nguồn gốc từ vùng Trung Á. Đây là giống chó săn được xếp vào nhóm chó săn đuổi hay chó săn rượt, là những con chó săn dựa vào tốc độ để truy đuổi con mồi. Chó săn Afghan có ngoại hình tạo một ấn tượng mạnh về sức mạnh, sự dẻo dai và vẻ cao lớn, kết hợp với tốc độ và sức mạnh.
Tên khác: Tazi, Tazhi Spay, Da Kochyano Spay, Sage Balochi, Ogar Afgan, Chó săn xám phương Đông/Chó săn xám Ba Tư
Nguồn gốc: Afghanistan
Đặc điểm
Nặng: - Đực: 20–27 kg (45–60 lb)
Cao: - Đực: 61–73 cm (24–29 in)
Bộ lông: Long and fine
Màu: Fawn, Gold, Brindle, White, Red, Cream, Blue, Gray and Tricolor
Lứa đẻ: 6–8 puppies
Tuổi thọ: 11–13 years",https://upload.wikimedia.org/wikipedia/commons/f/fe/Afghan_Hound.jpg
airedale terrier,"Chó sục Airedale (thường được rút ngắn thành chó Airedale), còn được gọi là Chó sục Bingley và Chó sục Waterside, là một giống Chó sục có nguồn gốc từ thung lũng (dale) của sông Aire, ở Tây Riding thuộc Yorkshire, Anh. Nó thường được gọi là ""Vua Chó sục"" bởi vì nó là giống Chó sục lớn nhất. Chó Airedale được lai tạo từ các loài chó Old English Black và Tan Terrier (hiện đã tuyệt chủng), Bull Terrier, Otterhound và có lẽ một số giống chó sục khác, ban đầu được dùng như một con chó lao động dùng trong nông nghiệp. Ở Anh, giống chó này cũng đã được sử dụng làm chó chiến tranh, chó dẫn đường và chó cảnh sát. Tại Hoa Kỳ, giống chó này đã được sử dụng để đi săn chim vùng cao, săn chim nước, và làm nhiều việc khác.
Tên khác: Chó sục Waterside, Chó sục Bingley
Biệt hiệu: Airedale, Vua Chó sục
Nguồn gốc: Vương quốc Anh
Đặc điểm
Nặng: - Đực: 40–50 pound (18–23 kg)
- Cái: 35–40 pound (16–18 kg)
Cao: - Đực: 22–24 inch (56–61 cm)
- Cái: 22–23 inch (56–58 cm)
Bộ lông: Lông gãy
Màu: Tai đen, chân và đầu vàng rám nắng; đen trộn với màu xám và trắng
Lứa đẻ: 9 chó con
Tuổi thọ: 11.5 năm",https://upload.wikimedia.org/wikipedia/commons/5/52/Airedale_Terrier.jpg
sục airedale,"Chó sục Airedale (thường được rút ngắn thành chó Airedale), còn được gọi là Chó sục Bingley và Chó sục Waterside, là một giống Chó sục có nguồn gốc từ thung lũng (dale) của sông Aire, ở Tây Riding thuộc Yorkshire, Anh. Nó thường được gọi là ""Vua Chó sục"" bởi vì nó là giống Chó sục lớn nhất. Chó Airedale được lai tạo từ các loài chó Old English Black và Tan Terrier (hiện đã tuyệt chủng), Bull Terrier, Otterhound và có lẽ một số giống chó sục khác, ban đầu được dùng như một con chó lao động dùng trong nông nghiệp. Ở Anh, giống chó này cũng đã được sử dụng làm chó chiến tranh, chó dẫn đường và chó cảnh sát. Tại Hoa Kỳ, giống chó này đã được sử dụng để đi săn chim vùng cao, săn chim nước, và làm nhiều việc khác.
Tên khác: Chó sục Waterside, Chó sục Bingley
Biệt hiệu: Airedale, Vua Chó sục
Nguồn gốc: Vương quốc Anh
Đặc điểm
Nặng: - Đực: 40–50 pound (18–23 kg)
- Cái: 35–40 pound (16–18 kg)
Cao: - Đực: 22–24 inch (56–61 cm)
- Cái: 22–23 inch (56–58 cm)
Bộ lông: Lông gãy
Màu: Tai đen, chân và đầu vàng rám nắng; đen trộn với màu xám và trắng
Lứa đẻ: 9 chó con
Tuổi thọ: 11.5 năm",https://upload.wikimedia.org/wikipedia/commons/5/52/Airedale_Terrier.jpg
sục waterside,"Chó sục Airedale (thường được rút ngắn thành chó Airedale), còn được gọi là Chó sục Bingley và Chó sục Waterside, là một giống Chó sục có nguồn gốc từ thung lũng (dale) của sông Aire, ở Tây Riding thuộc Yorkshire, Anh. Nó thường được gọi là ""Vua Chó sục"" bởi vì nó là giống Chó sục lớn nhất. Chó Airedale được lai tạo từ các loài chó Old English Black và Tan Terrier (hiện đã tuyệt chủng), Bull Terrier, Otterhound và có lẽ một số giống chó sục khác, ban đầu được dùng như một con chó lao động dùng trong nông nghiệp. Ở Anh, giống chó này cũng đã được sử dụng làm chó chiến tranh, chó dẫn đường và chó cảnh sát. Tại Hoa Kỳ, giống chó này đã được sử dụng để đi săn chim vùng cao, săn chim nước, và làm nhiều việc khác.
Tên khác: Chó sục Waterside, Chó sục Bingley
Biệt hiệu: Airedale, Vua Chó sục
Nguồn gốc: Vương quốc Anh
Đặc điểm
Nặng: - Đực: 40–50 pound (18–23 kg)
- Cái: 35–40 pound (16–18 kg)
Cao: - Đực: 22–24 inch (56–61 cm)
- Cái: 22–23 inch (56–58 cm)
Bộ lông: Lông gãy
Màu: Tai đen, chân và đầu vàng rám nắng; đen trộn với màu xám và trắng
Lứa đẻ: 9 chó con
Tuổi thọ: 11.5 năm",https://upload.wikimedia.org/wikipedia/commons/5/52/Airedale_Terrier.jpg
sục bingley,"Chó sục Airedale (thường được rút ngắn thành chó Airedale), còn được gọi là Chó sục Bingley và Chó sục Waterside, là một giống Chó sục có nguồn gốc từ thung lũng (dale) của sông Aire, ở Tây Riding thuộc Yorkshire, Anh. Nó thường được gọi là ""Vua Chó sục"" bởi vì nó là giống Chó sục lớn nhất. Chó Airedale được lai tạo từ các loài chó Old English Black và Tan Terrier (hiện đã tuyệt chủng), Bull Terrier, Otterhound và có lẽ một số giống chó sục khác, ban đầu được dùng như một con chó lao động dùng trong nông nghiệp. Ở Anh, giống chó này cũng đã được sử dụng làm chó chiến tranh, chó dẫn đường và chó cảnh sát. Tại Hoa Kỳ, giống chó này đã được sử dụng để đi săn chim vùng cao, săn chim nước, và làm nhiều việc khác.
Tên khác: Chó sục Waterside, Chó sục Bingley
Biệt hiệu: Airedale, Vua Chó sục
Nguồn gốc: Vương quốc Anh
Đặc điểm
Nặng: - Đực: 40–50 pound (18–23 kg)
- Cái: 35–40 pound (16–18 kg)
Cao: - Đực: 22–24 inch (56–61 cm)
- Cái: 22–23 inch (56–58 cm)
Bộ lông: Lông gãy
Màu: Tai đen, chân và đầu vàng rám nắng; đen trộn với màu xám và trắng
Lứa đẻ: 9 chó con
Tuổi thọ: 11.5 năm",https://upload.wikimedia.org/wikipedia/commons/5/52/Airedale_Terrier.jpg
akita,"Akita Inu hay chó Akita hay Akita Nhật là một giống chó quý có nguồn gốc từ Nhật Bản. Chúng được coi là giống chó chính thức và là Quốc khuyển của Nhật Bản vì những đặc tính ưu điểm của mình. Akita có hai loại chính, chủng Nhật Bản và Mỹ, Akita Nhật có màu trắng, nâu đốm, nâu vàng hoặc đỏ trong khi Akita Mỹ thì rất phong phú. Akita Nhật thường sống ở vùng đồi núi ở Nhật Bản. Chó Akita to, khỏe và khá ương ngạnh. Chúng mạnh mẽ, độc lập và có tính thống trị, chúng rất vui vẻ hòa đồng với các thành viên trong gia đình nhưng tránh xa người lạ do sự phân chia lãnh thổ, do đó có thể trở nên nguy hiểm.
Chúng thường tỏ ra hung hăng với những con chó khác nếu không được bảo ban, dạy dỗ chu đáo. Chúng còn được biết đến là giống chó ngoan ngoãn, dễ bảo, nhưng đôi khi cũng tỏ ra cứng đầu. Rất tận tụy và yêu quý gia chủ, chúng thông minh, can đảm và rất thận trọng, không thân thiện với người lạ nhưng bản tính của Akita là trung thành và rất có tình nghĩa với chủ nhân. Giá thành của chúng đắt với 3.500 USD cho mỗi con.[4] Trong văn hóa đại chúng, giống chó này được biết đến thông qua chú chó Hachikō, chú chó lông xù Wasao và những chú chó trong bộ truyện tranh Chú chó có nghĩa (tiếng Nhật: Ginga: Nagareboshi Gin)
Tên khác: Akita ken, Akita Nhật, Akita Mỹ, Đại khuyển Nhật Bản
Nguồn gốc: Nhật Bản
Đặc điểm
Nặng: - Đực: Nhật: 70–85 pound (32–39 kg); Mỹ: 100–145 pound (45–66 kg)
- Cái: Nhật: 50–65 pound (23–29 kg); Mỹ: 80–120 pound (36–54 kg)
Cao: - Đực: Nhật: 64–70 cm (25 ¼–27 ½ in); Mỹ: 26–28 inch (66–71 cm)
- Cái: Nhật: 58–64 cm (22 ¾–25 ¼ in); Mỹ: 24–26 inch (61–66 cm)
Bộ lông: Hai lớp lông
Lứa đẻ: 3–12 cún, trung bình 7–8
Tuổi thọ: 10 năm",https://upload.wikimedia.org/wikipedia/commons/a/a7/Akita_Inu_dog.jpg
